key,en_value,usage_count,de_value,fr_value,nl_value
advanceSearch.action.alternativeProof,Manual Closure,1,Manual Closure,Manual Closure,Manual Closure
advanceSearch.action.completeRecovery,Send Recovery Dispatch Notification (IE152),1,Send Recovery Dispatch Notification (IE152),Send Recovery Dispatch Notification (IE152),Send Recovery Dispatch Notification (IE152)
advanceSearch.action.continueControlResultDep,Continue control result,1,Kontrollergebnis fortsetzen,Continuer le résultat du contrôle,Controleresultaat verderzetten
advanceSearch.action.continueControlResultDes,Continue control result (IE018),1,Kontrollergebnis fortsetzen (IE018),Continuer le résultat du contrôle (IE018),Controleresultaat verderzetten (IE018)
advanceSearch.action.continueUnloadingRemarkDes,Continue Unloading remarks registration,1,Registrierung der Entladebemerkungen fortsetzen,Continuer l'enregistrement des remarques au déchargement,Registratie lossingsbemerkingen verderzetten
advanceSearch.action.exportDec,Export declaration,1,Ausfuhranmeldung,Déclaration d'export,Aangifte ten uitvoer
advanceSearch.action.exportFollDoc,Export followed document,0,Ausfuhrfolgedokument,Exporter le document de suivi,Exporteer volgbriefje
advanceSearch.action.registerControlResult,Register Control Results (IE017),2,Register Control Results (IE017),Register Control Results (IE017),Register Control Results (IE017)
advanceSearch.action.registerControlResultDest,Register Control Results (IE018),1,Register Control Results (IE018),Register Control Results (IE018),Register Control Results (IE018)
advanceSearch.action.releaseMovement,Release a Movement,1,Eine Sendung überlassen,Libérer un mouvement,Vrijgeven 
advanceSearch.action.requestForAmendment,Amend Declaration (IE013),1,Amend Declaration (IE013),Amend Declaration (IE013),Amend Declaration (IE013)
advanceSearch.action.sendRecoveryAcceptanceNotification,Send Recovery Acceptance Notification (IE151),1,Senden Sie die Benachrichtigung zur Wiederherstellungsannahme (IE151),Envoyer la notification d'acceptation de recouvrement (IE151),Verstuur Herstel Acceptatie Melding (IE151)
advanceSearch.action.startNewControlResultDep,Start new control result,1,Neues Kontrollergebnis starten,Démarrer un nouveau résultat de contrôle,Start nieuw controleresultaat
advanceSearch.action.startNewControlResultDes,Start new control result (IE018),1,Neues Kontrollergebnis starten (IE018),Démarrer un nouveau résultat de contrôle (IE018),Start nieuw controleresultaat (IE018)
advanceSearch.action.startNewUnloadingRemarkDes,Start Unloading remarks registration,1,Registrierung der Entladebemerkungen starten,Démarrer l'enregistrement des remarques au déchargement,Start registratie lossingsbemerkingen
advanceSearch.action.startRecovery,Send Recovery notification (IE035),1,Beitreibungsmitteilung senden (IE035),Envoyer la notification de recouvrement (IE035),Stuur invorderingsmelding (IE035)
advanceSearch.action.submitManualRecovery,Manual Start for Recovery,1,Manual Start for Recovery,Manual Start for Recovery,Manual Start for Recovery
advanceSearch.action.view,View,1,Einsehen,Voir,Bekijken
advanceSearch.button.actionMenu,Action menu button,3,Schaltfläche Aktionsmenü,Bouton de menu d'action,Actiemenuknop
advanceSearch.button.clearAll,Clear all,1,Alle löschen,Tout effacer,Wis alles
advanceSearch.button.refineSearch,Refine Search,1,Suche verfeinern,Affiner la recherche,Verfijn zoekopdracht
advanceSearch.button.reset,Reset,1,Reset,Reset,Reset
advanceSearch.button.search,Search,2,Suchen,Rechercher,Zoeken
advanceSearch.labels.AAR_CREATED,AAR created,0,AAR created,AAR created,AAR created
advanceSearch.labels.AAR_REQUESTED,AAR requested,0,AAR requested,AAR requested,AAR requested
advanceSearch.labels.ACCEPTED,Accepted,0,Angenommen,Accepté,Aanvaard
advanceSearch.labels.ARRIVAL_ACCEPTED,Arrival accepted,0,Arrival accepted,Arrival accepted,Arrival accepted
advanceSearch.labels.ARRIVED,Arrived,0,Angekommen,Arrivé,Aangekomen
advanceSearch.labels.ATR_CREATED,ATR created,0,ATR created,ATR created,ATR created
advanceSearch.labels.ATR_REJECTED,ATR rejected,0,ATR rejected,ATR rejected,ATR rejected
advanceSearch.labels.ATR_REQUESTED,ATR requested,0,ATR requested,ATR requested,ATR requested
advanceSearch.labels.AwaitingRiskAnalysisResult,Awaiting risk analysis result,0,Warten auf Ergebnis der Risikoanalyse,En attente des résultats de l'analyse de risques,Wachtend op risicoanlyseresultaat
advanceSearch.labels.AwaitingRiskHitConfirmation,Awaiting risk hit confirmation,0,Warten auf Bestätigung des Risk Hit,En attente de la confirmation du hit de risque,Wachtend op bevestiging van het risico
advanceSearch.labels.CANCELLED,Cancelled,0,Annulliert,Annulé,Geannuleerd
advanceSearch.labels.ControlResultRegistered,Control result registered,0,Kontrollergebnis registriert,Résultat de contrôle enregistré,Controleresultaat geregistreerd
advanceSearch.labels.DIVERSION_REJECTED,Diversion rejected,0,Diversion rejected,Diversion rejected,Diversion rejected
